id,product_id,warehouse_id,last_updated_at_date_id,quantity_on_hand,last_updated_at_time
128,64,2,243,15,12:00:00
129,65,1,243,150,12:00:00
130,65,2,243,143,12:00:00
131,66,1,243,143,12:00:00
132,66,2,243,84,12:00:00
133,67,1,243,171,12:00:00
134,67,2,243,31,12:00:00
135,68,1,243,105,12:00:00
136,68,2,243,90,12:00:00
137,69,1,243,170,12:00:00
138,69,2,243,192,12:00:00
139,70,1,243,108,12:00:00
140,70,2,243,184,12:00:00
141,71,1,243,13,12:00:00
142,71,2,243,73,12:00:00
143,72,1,243,153,12:00:00
144,72,2,243,79,12:00:00
145,73,1,243,90,12:00:00
146,73,2,243,26,12:00:00
147,74,1,243,147,12:00:00
148,74,2,243,129,12:00:00
149,75,1,243,54,12:00:00
150,75,2,243,39,12:00:00
151,76,1,243,168,12:00:00
152,76,2,243,123,12:00:00
153,77,1,243,57,12:00:00
154,77,2,243,27,12:00:00
155,78,1,243,89,12:00:00
156,78,2,243,142,12:00:00
157,79,1,243,94,12:00:00
158,79,2,243,29,12:00:00
159,80,1,243,195,12:00:00
160,80,2,243,71,12:00:00
161,81,1,243,146,12:00:00
162,81,2,243,57,12:00:00
163,82,1,243,109,12:00:00
164,82,2,243,143,12:00:00
165,83,1,243,196,12:00:00
166,83,2,243,159,12:00:00
167,84,1,243,157,12:00:00
168,84,2,243,172,12:00:00
169,85,1,243,164,12:00:00
170,85,2,243,142,12:00:00
171,86,1,243,6,12:00:00
172,86,2,243,155,12:00:00
173,87,1,243,168,12:00:00
174,87,2,243,177,12:00:00
175,88,1,243,68,12:00:00
176,88,2,243,7,12:00:00
177,89,1,243,46,12:00:00
178,89,2,243,69,12:00:00
179,90,1,243,179,12:00:00
180,90,2,243,195,12:00:00
181,91,1,243,79,12:00:00
182,91,2,243,86,12:00:00
183,92,1,243,89,12:00:00
184,92,2,243,1,12:00:00
185,93,1,243,46,12:00:00
186,93,2,243,36,12:00:00
187,94,1,243,144,12:00:00
188,94,2,243,168,12:00:00
189,95,1,243,102,12:00:00
190,95,2,243,17,12:00:00
191,96,1,243,36,12:00:00
192,96,2,243,189,12:00:00
193,97,1,243,162,12:00:00
194,97,2,243,7,12:00:00
195,98,1,243,23,12:00:00
196,98,2,243,191,12:00:00
197,99,1,243,135,12:00:00
198,99,2,243,55,12:00:00
199,100,1,243,96,12:00:00
200,100,2,243,107,12:00:00
201,101,1,243,116,12:00:00
202,101,2,243,87,12:00:00
203,102,1,243,40,12:00:00
204,102,2,243,94,12:00:00
205,103,1,243,79,12:00:00
206,103,2,243,184,12:00:00
207,104,1,243,83,12:00:00
208,104,2,243,198,12:00:00
209,105,1,243,145,12:00:00
210,105,2,243,152,12:00:00
211,106,1,243,21,12:00:00
212,106,2,243,13,12:00:00
213,107,1,243,39,12:00:00
214,107,2,243,40,12:00:00
215,108,1,243,193,12:00:00
216,108,2,243,158,12:00:00
217,109,1,243,12,12:00:00
218,109,2,243,172,12:00:00
219,110,1,243,20,12:00:00
220,110,2,243,69,12:00:00
221,111,1,243,113,12:00:00
222,111,2,243,169,12:00:00
223,112,1,243,108,12:00:00
224,112,2,243,124,12:00:00
225,113,1,243,155,12:00:00
226,113,2,243,113,12:00:00
227,114,1,243,106,12:00:00
228,114,2,243,69,12:00:00
229,115,1,243,55,12:00:00
230,115,2,243,193,12:00:00
231,116,1,243,131,12:00:00
232,116,2,243,29,12:00:00
233,117,1,243,88,12:00:00
234,117,2,243,110,12:00:00
235,118,1,243,28,12:00:00
236,118,2,243,72,12:00:00
237,119,1,243,173,12:00:00
238,119,2,243,173,12:00:00
239,120,1,243,151,12:00:00
240,120,2,243,124,12:00:00
241,121,1,243,134,12:00:00
242,121,2,243,170,12:00:00
243,122,1,243,78,12:00:00
244,122,2,243,11,12:00:00
245,123,1,243,56,12:00:00
246,123,2,243,101,12:00:00
247,124,1,243,153,12:00:00
248,124,2,243,14,12:00:00
249,125,1,243,1,12:00:00
250,125,2,243,52,12:00:00
251,126,1,243,77,12:00:00
252,126,2,243,54,12:00:00
253,127,1,243,196,12:00:00
254,127,2,243,35,12:00:00
255,128,1,243,195,12:00:00
256,128,2,243,65,12:00:00
257,129,1,243,74,12:00:00
258,129,2,243,83,12:00:00
259,130,1,243,30,12:00:00
260,130,2,243,1,12:00:00
261,131,1,243,127,12:00:00
262,131,2,243,191,12:00:00
263,132,1,243,110,12:00:00
264,132,2,243,44,12:00:00
265,133,1,243,33,12:00:00
266,133,2,243,97,12:00:00
267,134,1,243,136,12:00:00
268,134,2,243,180,12:00:00
269,135,1,243,58,12:00:00
270,135,2,243,128,12:00:00
271,136,1,243,143,12:00:00
272,136,2,243,171,12:00:00
273,137,1,243,90,12:00:00
274,137,2,243,18,12:00:00
275,138,1,243,101,12:00:00
276,138,2,243,189,12:00:00
277,139,1,243,10,12:00:00
278,139,2,243,111,12:00:00
279,140,1,243,4,12:00:00
280,140,2,243,117,12:00:00
281,141,1,243,19,12:00:00
282,141,2,243,80,12:00:00
283,142,1,243,147,12:00:00
284,142,2,243,109,12:00:00
285,143,1,243,146,12:00:00
286,143,2,243,103,12:00:00
287,144,1,243,181,12:00:00
288,144,2,243,163,12:00:00
289,145,1,243,106,12:00:00
290,145,2,243,74,12:00:00
291,146,1,243,29,12:00:00
292,146,2,243,103,12:00:00
293,147,1,243,5,12:00:00
294,147,2,243,83,12:00:00
295,148,1,243,43,12:00:00
296,148,2,243,158,12:00:00
297,149,1,243,117,12:00:00
298,149,2,243,176,12:00:00
299,150,1,243,92,12:00:00
300,150,2,243,22,12:00:00
