id,campaign_id,customer_id,product_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term
36,4,62,53,google,cpc,invierno_2025,,remeras
36,4,62,74,google,cpc,invierno_2025,,remeras
36,4,62,66,google,cpc,invierno_2025,,remeras
37,1,201,17,google,cpc,invierno_2025,remarketing,botas
37,1,201,24,google,cpc,invierno_2025,remarketing,botas
37,1,201,36,google,cpc,invierno_2025,remarketing,botas
38,7,213,81,google,cpc,invierno_2025,video,remeras
39,8,184,14,meta,social,retargeting_jul_2025,,camperas
40,10,176,35,google,cpc,invierno_2025,,zapatillas
40,10,176,84,google,cpc,invierno_2025,,zapatillas
40,10,176,22,google,cpc,invierno_2025,,zapatillas
40,10,176,47,google,cpc,invierno_2025,,zapatillas
41,10,61,22,google,cpc,invierno_2025,video,botas
41,10,61,35,google,cpc,invierno_2025,video,botas
41,10,61,102,google,cpc,invierno_2025,video,botas
41,10,61,99,google,cpc,invierno_2025,video,botas
42,9,213,126,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
42,9,213,113,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
42,9,213,39,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
43,10,115,24,google,cpc,invierno_2025,remarketing,remeras
43,10,115,48,google,cpc,invierno_2025,remarketing,remeras
43,10,115,110,google,cpc,invierno_2025,remarketing,remeras
43,10,115,132,google,cpc,invierno_2025,remarketing,remeras
44,2,106,66,meta,social,retargeting_jul_2025,,remeras
44,2,106,129,meta,social,retargeting_jul_2025,,remeras
44,2,106,119,meta,social,retargeting_jul_2025,,remeras
45,12,223,78,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
45,12,223,35,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
45,12,223,29,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
45,12,223,49,meta,social,nuevo_drop_ago_2025,remarketing,zapatillas
46,2,16,69,meta,social,retargeting_jul_2025,,botas
47,8,189,73,meta,social,retargeting_jul_2025,video,camperas
47,8,189,23,meta,social,retargeting_jul_2025,video,camperas
48,8,201,132,meta,social,retargeting_jul_2025,promo,
48,8,201,27,meta,social,retargeting_jul_2025,promo,
49,4,218,122,google,cpc,invierno_2025,,mochilas
49,4,218,130,google,cpc,invierno_2025,,mochilas
50,9,180,72,meta,social,nuevo_drop_ago_2025,promo,
51,3,147,90,meta,social,nuevo_drop_ago_2025,carousel,camperas
51,3,147,147,meta,social,nuevo_drop_ago_2025,carousel,camperas
52,12,150,42,meta,social,nuevo_drop_ago_2025,carousel,
52,12,150,33,meta,social,nuevo_drop_ago_2025,carousel,
52,12,150,118,meta,social,nuevo_drop_ago_2025,carousel,
52,12,150,132,meta,social,nuevo_drop_ago_2025,carousel,
53,8,240,1,meta,social,retargeting_jul_2025,,
53,8,240,90,meta,social,retargeting_jul_2025,,
53,8,240,107,meta,social,retargeting_jul_2025,,
53,8,240,80,meta,social,retargeting_jul_2025,,
54,1,24,37,google,cpc,invierno_2025,video,remeras
54,1,24,23,google,cpc,invierno_2025,video,remeras
54,1,24,105,google,cpc,invierno_2025,video,remeras
55,8,26,31,meta,social,retargeting_jul_2025,brand,remeras
55,8,26,62,meta,social,retargeting_jul_2025,brand,remeras
55,8,26,61,meta,social,retargeting_jul_2025,brand,remeras
55,8,26,130,meta,social,retargeting_jul_2025,brand,remeras
56,4,163,64,google,cpc,invierno_2025,brand,
57,12,239,55,meta,social,nuevo_drop_ago_2025,video,botas
57,12,239,73,meta,social,nuevo_drop_ago_2025,video,botas
57,12,239,137,meta,social,nuevo_drop_ago_2025,video,botas
58,8,243,63,meta,social,retargeting_jul_2025,carousel,mochilas
58,8,243,88,meta,social,retargeting_jul_2025,carousel,mochilas
58,8,243,85,meta,social,retargeting_jul_2025,carousel,mochilas
59,12,92,119,meta,social,nuevo_drop_ago_2025,,camperas
60,5,207,72,meta,social,retargeting_jul_2025,promo,mochilas
61,6,50,67,meta,social,nuevo_drop_ago_2025,remarketing,remeras
61,6,50,134,meta,social,nuevo_drop_ago_2025,remarketing,remeras
62,10,1,111,google,cpc,invierno_2025,,botas
62,10,1,32,google,cpc,invierno_2025,,botas
62,10,1,120,google,cpc,invierno_2025,,botas
63,3,25,65,meta,social,nuevo_drop_ago_2025,brand,mochilas
63,3,25,122,meta,social,nuevo_drop_ago_2025,brand,mochilas
63,3,25,14,meta,social,nuevo_drop_ago_2025,brand,mochilas
64,8,14,60,meta,social,retargeting_jul_2025,remarketing,remeras
64,8,14,3,meta,social,retargeting_jul_2025,remarketing,remeras
64,8,14,119,meta,social,retargeting_jul_2025,remarketing,remeras
64,8,14,26,meta,social,retargeting_jul_2025,remarketing,remeras
65,9,132,121,meta,social,nuevo_drop_ago_2025,remarketing,
65,9,132,88,meta,social,nuevo_drop_ago_2025,remarketing,
66,10,77,127,google,cpc,invierno_2025,carousel,botas
67,7,197,48,google,cpc,invierno_2025,video,zapatillas
67,7,197,3,google,cpc,invierno_2025,video,zapatillas
67,7,197,8,google,cpc,invierno_2025,video,zapatillas
67,7,197,37,google,cpc,invierno_2025,video,zapatillas
68,9,219,72,meta,social,nuevo_drop_ago_2025,,
69,6,54,56,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
69,6,54,97,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
69,6,54,96,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
69,6,54,22,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
70,5,168,122,meta,social,retargeting_jul_2025,,mochilas
70,5,168,142,meta,social,retargeting_jul_2025,,mochilas
71,1,75,44,google,cpc,invierno_2025,carousel,mochilas
72,2,196,105,meta,social,retargeting_jul_2025,promo,remeras
72,2,196,65,meta,social,retargeting_jul_2025,promo,remeras
72,2,196,12,meta,social,retargeting_jul_2025,promo,remeras
73,6,26,20,meta,social,nuevo_drop_ago_2025,remarketing,botas
73,6,26,70,meta,social,nuevo_drop_ago_2025,remarketing,botas
74,1,170,2,google,cpc,invierno_2025,carousel,
75,8,4,25,meta,social,retargeting_jul_2025,remarketing,remeras
75,8,4,43,meta,social,retargeting_jul_2025,remarketing,remeras
76,7,209,63,google,cpc,invierno_2025,promo,remeras
76,7,209,14,google,cpc,invierno_2025,promo,remeras
76,7,209,57,google,cpc,invierno_2025,promo,remeras
77,6,46,70,meta,social,nuevo_drop_ago_2025,carousel,zapatillas
77,6,46,93,meta,social,nuevo_drop_ago_2025,carousel,zapatillas
78,11,210,77,meta,social,retargeting_jul_2025,carousel,camperas
79,11,97,40,meta,social,retargeting_jul_2025,carousel,botas
79,11,97,4,meta,social,retargeting_jul_2025,carousel,botas
80,12,96,105,meta,social,nuevo_drop_ago_2025,,
81,11,239,1,meta,social,retargeting_jul_2025,brand,remeras
81,11,239,107,meta,social,retargeting_jul_2025,brand,remeras
81,11,239,74,meta,social,retargeting_jul_2025,brand,remeras
81,11,239,44,meta,social,retargeting_jul_2025,brand,remeras
82,3,169,37,meta,social,nuevo_drop_ago_2025,video,botas
82,3,169,130,meta,social,nuevo_drop_ago_2025,video,botas
83,3,122,24,meta,social,nuevo_drop_ago_2025,promo,remeras
83,3,122,58,meta,social,nuevo_drop_ago_2025,promo,remeras
83,3,122,17,meta,social,nuevo_drop_ago_2025,promo,remeras
83,3,122,97,meta,social,nuevo_drop_ago_2025,promo,remeras
84,7,109,28,google,cpc,invierno_2025,carousel,camperas
84,7,109,138,google,cpc,invierno_2025,carousel,camperas
85,12,181,58,meta,social,nuevo_drop_ago_2025,promo,
85,12,181,14,meta,social,nuevo_drop_ago_2025,promo,
86,12,141,101,meta,social,nuevo_drop_ago_2025,brand,botas
86,12,141,136,meta,social,nuevo_drop_ago_2025,brand,botas
86,12,141,73,meta,social,nuevo_drop_ago_2025,brand,botas
87,11,78,124,meta,social,retargeting_jul_2025,video,botas
87,11,78,54,meta,social,retargeting_jul_2025,video,botas
87,11,78,51,meta,social,retargeting_jul_2025,video,botas
87,11,78,3,meta,social,retargeting_jul_2025,video,botas
88,5,153,119,meta,social,retargeting_jul_2025,video,mochilas
89,4,32,2,google,cpc,invierno_2025,brand,mochilas
89,4,32,81,google,cpc,invierno_2025,brand,mochilas
90,2,66,94,meta,social,retargeting_jul_2025,,mochilas
90,2,66,109,meta,social,retargeting_jul_2025,,mochilas
90,2,66,64,meta,social,retargeting_jul_2025,,mochilas
91,4,114,138,google,cpc,invierno_2025,brand,botas
91,4,114,26,google,cpc,invierno_2025,brand,botas
91,4,114,61,google,cpc,invierno_2025,brand,botas
92,8,188,96,meta,social,retargeting_jul_2025,carousel,
92,8,188,131,meta,social,retargeting_jul_2025,carousel,
93,2,3,32,meta,social,retargeting_jul_2025,,mochilas
94,8,222,44,meta,social,retargeting_jul_2025,promo,remeras
95,12,91,79,meta,social,nuevo_drop_ago_2025,,
95,12,91,79,meta,social,nuevo_drop_ago_2025,,
96,2,104,63,meta,social,retargeting_jul_2025,video,camperas
96,2,104,136,meta,social,retargeting_jul_2025,video,camperas
96,2,104,11,meta,social,retargeting_jul_2025,video,camperas
97,2,55,79,meta,social,retargeting_jul_2025,video,camperas
97,2,55,10,meta,social,retargeting_jul_2025,video,camperas
98,11,94,113,meta,social,retargeting_jul_2025,remarketing,botas
99,8,123,40,meta,social,retargeting_jul_2025,promo,remeras
99,8,123,48,meta,social,retargeting_jul_2025,promo,remeras
100,2,181,49,meta,social,retargeting_jul_2025,video,botas
100,2,181,39,meta,social,retargeting_jul_2025,video,botas
101,6,108,1,meta,social,nuevo_drop_ago_2025,brand,remeras
102,9,48,29,meta,social,nuevo_drop_ago_2025,remarketing,camperas
102,9,48,4,meta,social,nuevo_drop_ago_2025,remarketing,camperas
102,9,48,34,meta,social,nuevo_drop_ago_2025,remarketing,camperas
103,3,115,135,meta,social,nuevo_drop_ago_2025,,mochilas
103,3,115,43,meta,social,nuevo_drop_ago_2025,,mochilas
103,3,115,34,meta,social,nuevo_drop_ago_2025,,mochilas
103,3,115,145,meta,social,nuevo_drop_ago_2025,,mochilas
104,8,248,98,meta,social,retargeting_jul_2025,promo,mochilas
105,10,162,38,google,cpc,invierno_2025,video,zapatillas
105,10,162,127,google,cpc,invierno_2025,video,zapatillas
105,10,162,48,google,cpc,invierno_2025,video,zapatillas
106,6,227,18,meta,social,nuevo_drop_ago_2025,brand,zapatillas
106,6,227,110,meta,social,nuevo_drop_ago_2025,brand,zapatillas
107,11,36,85,meta,social,retargeting_jul_2025,video,
107,11,36,63,meta,social,retargeting_jul_2025,video,
107,11,36,69,meta,social,retargeting_jul_2025,video,
108,9,158,46,meta,social,nuevo_drop_ago_2025,,camperas
108,9,158,86,meta,social,nuevo_drop_ago_2025,,camperas
109,9,160,95,meta,social,nuevo_drop_ago_2025,video,zapatillas
109,9,160,20,meta,social,nuevo_drop_ago_2025,video,zapatillas
109,9,160,38,meta,social,nuevo_drop_ago_2025,video,zapatillas
109,9,160,100,meta,social,nuevo_drop_ago_2025,video,zapatillas
110,9,24,82,meta,social,nuevo_drop_ago_2025,carousel,mochilas
110,9,24,124,meta,social,nuevo_drop_ago_2025,carousel,mochilas
110,9,24,86,meta,social,nuevo_drop_ago_2025,carousel,mochilas
111,12,137,149,meta,social,nuevo_drop_ago_2025,carousel,zapatillas
112,4,54,97,google,cpc,invierno_2025,carousel,mochilas
112,4,54,109,google,cpc,invierno_2025,carousel,mochilas
113,4,223,63,google,cpc,invierno_2025,carousel,botas
114,2,103,120,meta,social,retargeting_jul_2025,,remeras
115,9,50,8,meta,social,nuevo_drop_ago_2025,brand,zapatillas
115,9,50,42,meta,social,nuevo_drop_ago_2025,brand,zapatillas
115,9,50,17,meta,social,nuevo_drop_ago_2025,brand,zapatillas
116,9,25,7,meta,social,nuevo_drop_ago_2025,,remeras
116,9,25,123,meta,social,nuevo_drop_ago_2025,,remeras
117,4,62,146,google,cpc,invierno_2025,carousel,
117,4,62,25,google,cpc,invierno_2025,carousel,
118,3,241,74,meta,social,nuevo_drop_ago_2025,carousel,camperas
118,3,241,34,meta,social,nuevo_drop_ago_2025,carousel,camperas
118,3,241,132,meta,social,nuevo_drop_ago_2025,carousel,camperas
119,2,225,144,meta,social,retargeting_jul_2025,remarketing,remeras
119,2,225,27,meta,social,retargeting_jul_2025,remarketing,remeras
120,11,55,121,meta,social,retargeting_jul_2025,carousel,remeras
120,11,55,55,meta,social,retargeting_jul_2025,carousel,remeras
121,7,229,88,google,cpc,invierno_2025,remarketing,mochilas
121,7,229,51,google,cpc,invierno_2025,remarketing,mochilas
121,7,229,124,google,cpc,invierno_2025,remarketing,mochilas
121,7,229,42,google,cpc,invierno_2025,remarketing,mochilas
122,4,90,95,google,cpc,invierno_2025,,remeras
123,11,167,134,meta,social,retargeting_jul_2025,carousel,zapatillas
123,11,167,46,meta,social,retargeting_jul_2025,carousel,zapatillas
123,11,167,96,meta,social,retargeting_jul_2025,carousel,zapatillas
123,11,167,42,meta,social,retargeting_jul_2025,carousel,zapatillas
124,11,58,32,meta,social,retargeting_jul_2025,promo,mochilas
124,11,58,106,meta,social,retargeting_jul_2025,promo,mochilas
124,11,58,102,meta,social,retargeting_jul_2025,promo,mochilas
124,11,58,58,meta,social,retargeting_jul_2025,promo,mochilas
125,8,167,50,meta,social,retargeting_jul_2025,video,mochilas
125,8,167,51,meta,social,retargeting_jul_2025,video,mochilas
125,8,167,72,meta,social,retargeting_jul_2025,video,mochilas
125,8,167,150,meta,social,retargeting_jul_2025,video,mochilas
126,8,212,110,meta,social,retargeting_jul_2025,promo,mochilas
126,8,212,63,meta,social,retargeting_jul_2025,promo,mochilas
126,8,212,96,meta,social,retargeting_jul_2025,promo,mochilas
127,11,17,27,meta,social,retargeting_jul_2025,promo,zapatillas
127,11,17,20,meta,social,retargeting_jul_2025,promo,zapatillas
128,11,13,32,meta,social,retargeting_jul_2025,,camperas
129,7,71,127,google,cpc,invierno_2025,video,
129,7,71,101,google,cpc,invierno_2025,video,
129,7,71,117,google,cpc,invierno_2025,video,
130,3,29,98,meta,social,nuevo_drop_ago_2025,,zapatillas
130,3,29,44,meta,social,nuevo_drop_ago_2025,,zapatillas
130,3,29,118,meta,social,nuevo_drop_ago_2025,,zapatillas
131,3,178,4,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
131,3,178,120,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
132,8,220,130,meta,social,retargeting_jul_2025,video,camperas
132,8,220,57,meta,social,retargeting_jul_2025,video,camperas
133,3,31,129,meta,social,nuevo_drop_ago_2025,carousel,
133,3,31,86,meta,social,nuevo_drop_ago_2025,carousel,
133,3,31,70,meta,social,nuevo_drop_ago_2025,carousel,
133,3,31,13,meta,social,nuevo_drop_ago_2025,carousel,
134,3,175,14,meta,social,nuevo_drop_ago_2025,remarketing,remeras
135,9,190,81,meta,social,nuevo_drop_ago_2025,promo,zapatillas
135,9,190,43,meta,social,nuevo_drop_ago_2025,promo,zapatillas
136,1,70,92,google,cpc,invierno_2025,,
136,1,70,63,google,cpc,invierno_2025,,
137,10,50,135,google,cpc,invierno_2025,video,
137,10,50,90,google,cpc,invierno_2025,video,
137,10,50,107,google,cpc,invierno_2025,video,
137,10,50,49,google,cpc,invierno_2025,video,
138,1,117,126,google,cpc,invierno_2025,video,camperas
139,1,103,45,google,cpc,invierno_2025,remarketing,
139,1,103,83,google,cpc,invierno_2025,remarketing,
139,1,103,52,google,cpc,invierno_2025,remarketing,
140,10,246,63,google,cpc,invierno_2025,carousel,mochilas
140,10,246,96,google,cpc,invierno_2025,carousel,mochilas
140,10,246,140,google,cpc,invierno_2025,carousel,mochilas
141,3,118,86,meta,social,nuevo_drop_ago_2025,video,
142,10,71,109,google,cpc,invierno_2025,video,mochilas
142,10,71,73,google,cpc,invierno_2025,video,mochilas
142,10,71,145,google,cpc,invierno_2025,video,mochilas
142,10,71,149,google,cpc,invierno_2025,video,mochilas
143,6,128,92,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
143,6,128,36,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
143,6,128,110,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
144,3,27,111,meta,social,nuevo_drop_ago_2025,brand,zapatillas
144,3,27,59,meta,social,nuevo_drop_ago_2025,brand,zapatillas
144,3,27,7,meta,social,nuevo_drop_ago_2025,brand,zapatillas
145,3,106,20,meta,social,nuevo_drop_ago_2025,,zapatillas
146,4,75,20,google,cpc,invierno_2025,promo,mochilas
147,7,60,37,google,cpc,invierno_2025,remarketing,camperas
147,7,60,113,google,cpc,invierno_2025,remarketing,camperas
147,7,60,30,google,cpc,invierno_2025,remarketing,camperas
148,7,198,93,google,cpc,invierno_2025,carousel,
148,7,198,65,google,cpc,invierno_2025,carousel,
148,7,198,4,google,cpc,invierno_2025,carousel,
149,7,197,45,google,cpc,invierno_2025,brand,botas
149,7,197,13,google,cpc,invierno_2025,brand,botas
150,7,67,61,google,cpc,invierno_2025,video,mochilas
151,11,96,7,meta,social,retargeting_jul_2025,remarketing,
151,11,96,93,meta,social,retargeting_jul_2025,remarketing,
152,9,42,28,meta,social,nuevo_drop_ago_2025,remarketing,mochilas
153,8,183,39,meta,social,retargeting_jul_2025,video,botas
154,2,249,21,meta,social,retargeting_jul_2025,brand,zapatillas
154,2,249,130,meta,social,retargeting_jul_2025,brand,zapatillas
154,2,249,124,meta,social,retargeting_jul_2025,brand,zapatillas
155,12,31,33,meta,social,nuevo_drop_ago_2025,carousel,remeras
156,6,91,31,meta,social,nuevo_drop_ago_2025,remarketing,camperas
156,6,91,28,meta,social,nuevo_drop_ago_2025,remarketing,camperas
156,6,91,19,meta,social,nuevo_drop_ago_2025,remarketing,camperas
157,1,242,145,google,cpc,invierno_2025,promo,
158,1,243,51,google,cpc,invierno_2025,remarketing,botas
158,1,243,39,google,cpc,invierno_2025,remarketing,botas
159,5,192,46,meta,social,retargeting_jul_2025,carousel,mochilas
159,5,192,68,meta,social,retargeting_jul_2025,carousel,mochilas
160,7,198,114,google,cpc,invierno_2025,remarketing,zapatillas
160,7,198,67,google,cpc,invierno_2025,remarketing,zapatillas
160,7,198,125,google,cpc,invierno_2025,remarketing,zapatillas
160,7,198,87,google,cpc,invierno_2025,remarketing,zapatillas
161,1,200,34,google,cpc,invierno_2025,remarketing,
161,1,200,6,google,cpc,invierno_2025,remarketing,
161,1,200,98,google,cpc,invierno_2025,remarketing,
162,11,129,78,meta,social,retargeting_jul_2025,promo,
162,11,129,64,meta,social,retargeting_jul_2025,promo,
162,11,129,32,meta,social,retargeting_jul_2025,promo,
163,11,68,105,meta,social,retargeting_jul_2025,,remeras
163,11,68,124,meta,social,retargeting_jul_2025,,remeras
164,9,244,58,meta,social,nuevo_drop_ago_2025,carousel,
164,9,244,102,meta,social,nuevo_drop_ago_2025,carousel,
164,9,244,95,meta,social,nuevo_drop_ago_2025,carousel,
164,9,244,28,meta,social,nuevo_drop_ago_2025,carousel,
165,5,69,81,meta,social,retargeting_jul_2025,,botas
165,5,69,83,meta,social,retargeting_jul_2025,,botas
165,5,69,124,meta,social,retargeting_jul_2025,,botas
165,5,69,21,meta,social,retargeting_jul_2025,,botas
166,7,70,37,google,cpc,invierno_2025,promo,botas
166,7,70,53,google,cpc,invierno_2025,promo,botas
167,11,36,129,meta,social,retargeting_jul_2025,promo,
167,11,36,144,meta,social,retargeting_jul_2025,promo,
167,11,36,99,meta,social,retargeting_jul_2025,promo,
168,8,222,55,meta,social,retargeting_jul_2025,promo,remeras
168,8,222,49,meta,social,retargeting_jul_2025,promo,remeras
168,8,222,46,meta,social,retargeting_jul_2025,promo,remeras
168,8,222,51,meta,social,retargeting_jul_2025,promo,remeras
169,5,72,44,meta,social,retargeting_jul_2025,brand,
169,5,72,94,meta,social,retargeting_jul_2025,brand,
169,5,72,104,meta,social,retargeting_jul_2025,brand,
170,8,180,120,meta,social,retargeting_jul_2025,remarketing,camperas
170,8,180,30,meta,social,retargeting_jul_2025,remarketing,camperas
171,11,96,92,meta,social,retargeting_jul_2025,video,
172,5,249,110,meta,social,retargeting_jul_2025,brand,remeras
172,5,249,103,meta,social,retargeting_jul_2025,brand,remeras
172,5,249,42,meta,social,retargeting_jul_2025,brand,remeras
172,5,249,77,meta,social,retargeting_jul_2025,brand,remeras
173,7,41,121,google,cpc,invierno_2025,video,zapatillas
173,7,41,119,google,cpc,invierno_2025,video,zapatillas
174,7,103,137,google,cpc,invierno_2025,carousel,botas
174,7,103,126,google,cpc,invierno_2025,carousel,botas
174,7,103,7,google,cpc,invierno_2025,carousel,botas
174,7,103,46,google,cpc,invierno_2025,carousel,botas
175,1,133,104,google,cpc,invierno_2025,carousel,mochilas
176,11,195,87,meta,social,retargeting_jul_2025,,
177,1,118,26,google,cpc,invierno_2025,promo,botas
177,1,118,21,google,cpc,invierno_2025,promo,botas
178,2,58,118,meta,social,retargeting_jul_2025,video,remeras
178,2,58,85,meta,social,retargeting_jul_2025,video,remeras
178,2,58,122,meta,social,retargeting_jul_2025,video,remeras
179,10,173,91,google,cpc,invierno_2025,carousel,mochilas
179,10,173,107,google,cpc,invierno_2025,carousel,mochilas
180,10,34,56,google,cpc,invierno_2025,carousel,camperas
180,10,34,147,google,cpc,invierno_2025,carousel,camperas
180,10,34,41,google,cpc,invierno_2025,carousel,camperas
180,10,34,141,google,cpc,invierno_2025,carousel,camperas
181,6,131,62,meta,social,nuevo_drop_ago_2025,carousel,remeras
181,6,131,52,meta,social,nuevo_drop_ago_2025,carousel,remeras
181,6,131,76,meta,social,nuevo_drop_ago_2025,carousel,remeras
182,3,213,110,meta,social,nuevo_drop_ago_2025,,
182,3,213,38,meta,social,nuevo_drop_ago_2025,,
182,3,213,29,meta,social,nuevo_drop_ago_2025,,
182,3,213,94,meta,social,nuevo_drop_ago_2025,,
183,10,118,114,google,cpc,invierno_2025,remarketing,camperas
183,10,118,67,google,cpc,invierno_2025,remarketing,camperas
183,10,118,10,google,cpc,invierno_2025,remarketing,camperas
184,2,38,123,meta,social,retargeting_jul_2025,brand,botas
184,2,38,89,meta,social,retargeting_jul_2025,brand,botas
184,2,38,129,meta,social,retargeting_jul_2025,brand,botas
184,2,38,96,meta,social,retargeting_jul_2025,brand,botas
