id,customer_id,campaign_id,carrier,service_level,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,shipping_cost,tracking_number
72,91,12,Andreani,Estándar,189,15:34:28,,,0.0,OC2980969146
73,104,2,Andreani,Estándar,154,15:28:22,,,0.0,JD3041936888
74,55,2,Andreani,Express,227,14:19:52,229,14:19:52,0.0,XE3140511416
75,94,11,Correo Argentino,Estándar,221,09:48:41,224,09:48:41,0.0,DK3069991446
76,181,2,Correo Argentino,Estándar,218,22:14:58,221,22:14:58,0.0,QC0436234563
77,48,9,OCA,Express,201,12:10:15,204,12:10:15,0.0,FJ8171596179
78,115,3,OCA,Estándar,164,17:34:44,170,17:34:44,0.0,ET3742112687
79,67,,Andreani,Estándar,190,09:46:34,193,09:46:34,3201.39,AJ6307574630
80,227,6,Andreani,Estándar,243,22:07:48,245,22:07:48,0.0,TQ0201609917
81,36,11,Andreani,Estándar,212,05:56:23,215,05:56:23,0.0,AL1628388111
82,137,12,Andreani,Express,182,14:00:13,,,0.0,AZ0599038882
83,36,,Andreani,Express,197,16:09:52,,,360.0,VR8589574195
84,25,9,OCA,Estándar,218,03:40:38,,,0.0,TE9576937338
85,225,2,Correo Argentino,Express,236,02:04:38,,,0.0,RJ4581119344
86,51,,OCA,Express,229,22:26:47,231,22:26:47,0.0,GS9986650716
87,167,11,OCA,Estándar,200,12:49:25,,,0.0,ZU1664479045
88,58,11,Correo Argentino,Estándar,169,07:07:12,,,0.0,AX0078573154
89,165,,Andreani,Express,227,15:37:23,233,15:37:23,0.0,VQ2592046507
90,71,,Andreani,Express,236,00:50:33,240,00:50:33,0.0,CU4462486412
91,167,8,Correo Argentino,Express,219,15:52:35,,,0.0,PH3131388489
92,13,11,Correo Argentino,Estándar,188,15:20:12,,,0.0,QW9928489060
93,71,7,Andreani,Estándar,204,02:54:15,206,02:54:15,0.0,VD9872078850
94,29,3,OCA,Estándar,165,09:36:07,170,09:36:07,0.0,NG4427407738
95,220,8,Andreani,Estándar,193,16:31:49,198,16:31:49,0.0,HE3861872810
96,175,3,OCA,Express,168,07:59:40,,,1597.07,KC7822732570
97,190,9,Correo Argentino,Estándar,241,08:41:16,244,08:41:16,0.0,ET0340840062
98,50,10,Correo Argentino,Express,188,22:49:27,,,0.0,OU3109165251
99,103,1,Correo Argentino,Express,193,21:44:15,195,21:44:15,0.0,OJ8414397444
100,32,,Andreani,Estándar,219,05:14:54,222,05:14:54,0.0,MV4014988586
101,247,,Andreani,Estándar,177,20:58:22,,,0.0,MR3279718739
102,30,,Correo Argentino,Estándar,163,16:04:32,166,16:04:32,0.0,CA9001075836
103,128,6,Andreani,Express,228,17:14:53,230,17:14:53,0.0,FP3299270890
104,80,,Andreani,Express,222,04:02:12,,,0.0,BY9770995605
105,27,3,Andreani,Express,184,23:40:40,,,0.0,TS4414893140
106,75,4,Correo Argentino,Express,215,23:56:30,,,5630.22,YU2652650976
107,60,7,Andreani,Estándar,182,04:28:08,186,04:28:08,0.0,HP4830214035
108,237,,Correo Argentino,Express,228,07:53:02,234,07:53:02,0.0,WY4555137910
109,183,8,OCA,Estándar,204,21:12:53,210,21:12:53,0.0,WN0454282227
110,249,2,Andreani,Express,210,14:55:29,216,14:55:29,0.0,RR6731451481
111,91,6,Correo Argentino,Express,227,08:47:25,,,0.0,ST7585105643
112,209,,OCA,Estándar,190,20:56:24,,,0.0,YR1287099570
113,73,,Correo Argentino,Estándar,220,04:35:38,222,04:35:38,0.0,NH6577394973
114,169,,Correo Argentino,Express,182,10:38:08,185,10:38:08,0.0,RJ3188866022
115,200,1,OCA,Estándar,231,22:14:12,233,22:14:12,0.0,JF1582893279
116,129,11,OCA,Express,158,05:42:51,164,05:42:51,0.0,AT5905388747
117,244,9,Correo Argentino,Estándar,245,03:56:35,248,03:56:35,0.0,CK8587044780
118,69,5,OCA,Estándar,216,19:51:51,222,19:51:51,0.0,EL9041847532
119,70,7,Correo Argentino,Estándar,203,20:31:39,,,0.0,YY7815804109
120,36,11,OCA,Estándar,215,11:54:32,,,0.0,WV9987854765
121,222,8,Andreani,Express,240,12:35:49,246,12:35:49,0.0,AH4062698899
122,72,5,Correo Argentino,Estándar,155,12:06:43,158,12:06:43,0.0,HF5178023356
123,14,,OCA,Express,178,10:09:24,182,10:09:24,0.0,JQ4680835273
124,96,11,Correo Argentino,Express,157,11:44:13,160,11:44:13,0.0,EO7465674276
125,249,5,Correo Argentino,Estándar,217,03:55:36,219,03:55:36,0.0,UL1018302202
126,103,7,OCA,Estándar,242,15:27:32,244,15:27:32,0.0,DE2436423809
127,133,1,Correo Argentino,Express,163,12:36:28,,,1914.15,KB4718957789
128,195,11,Andreani,Estándar,166,05:28:31,170,05:28:31,0.0,WL0534670224
129,66,,Correo Argentino,Estándar,209,04:14:20,214,04:14:20,0.0,HR6962404125
130,58,2,Correo Argentino,Express,184,02:19:12,187,02:19:12,0.0,FS6208965329
131,34,10,Correo Argentino,Express,170,03:31:51,,,0.0,QR6665524729
132,1,,OCA,Estándar,237,06:16:19,239,06:16:19,0.0,DQ9579325403
133,131,6,Correo Argentino,Estándar,174,16:40:00,180,16:40:00,0.0,UZ5163914900
134,118,10,Correo Argentino,Express,188,12:28:04,194,12:28:04,0.0,HS5376181682
135,230,,Andreani,Express,200,01:11:44,203,01:11:44,0.0,EZ2277991322
136,149,10,Correo Argentino,Express,170,16:06:57,176,16:06:57,0.0,GN3656171085
137,210,,OCA,Estándar,172,02:28:33,178,02:28:33,0.0,DQ4878093599
138,73,8,OCA,Estándar,165,20:34:55,,,0.0,TT4248760635
139,168,5,Correo Argentino,Estándar,227,12:54:44,233,12:54:44,0.0,II2234292318
140,59,,OCA,Express,203,17:09:42,206,17:09:42,0.0,TB8863411997
141,80,,OCA,Estándar,186,04:40:03,,,0.0,TS2622737455
142,109,,Correo Argentino,Express,228,01:14:45,234,01:14:45,0.0,ZL2476539138
143,172,,Correo Argentino,Express,187,02:17:52,191,02:17:52,0.0,LZ0853991820
144,200,,Correo Argentino,Estándar,221,19:06:58,,,0.0,CE6687196829
145,249,,Correo Argentino,Estándar,212,11:43:14,214,11:43:14,0.0,DV7892763180
146,200,11,OCA,Express,227,13:40:59,,,0.0,WO5986760509
147,200,5,Correo Argentino,Express,167,12:09:07,170,12:09:07,0.0,JU8793159757
148,204,9,OCA,Express,187,15:42:13,189,15:42:13,0.0,NC8237982284
149,243,,OCA,Express,218,15:41:09,221,15:41:09,0.0,WZ0757004119
150,167,10,Correo Argentino,Estándar,198,03:14:39,201,03:14:39,5694.18,CJ7841429637
151,143,2,Andreani,Estándar,167,06:08:07,169,06:08:07,0.0,QM5906131487
152,10,,Correo Argentino,Express,195,10:36:38,201,10:36:38,0.0,YR0219470094
153,26,1,Correo Argentino,Express,197,19:11:59,203,19:11:59,0.0,MU2608108751
154,26,12,Andreani,Express,182,11:39:43,186,11:39:43,0.0,VJ8012684586
155,105,,Correo Argentino,Estándar,206,13:43:51,,,0.0,EI9269352511
156,197,5,Correo Argentino,Estándar,193,01:35:35,198,01:35:35,0.0,YN2637048621
157,176,3,Andreani,Estándar,221,00:38:08,,,0.0,OB6996264766
158,236,,Correo Argentino,Estándar,202,08:08:59,,,0.0,BK8891624844
159,142,4,OCA,Estándar,220,15:43:14,225,15:43:14,0.0,DI2774675600
160,239,11,Andreani,Estándar,178,16:17:12,,,0.0,DH3197693790
161,207,9,Andreani,Estándar,167,00:50:15,169,00:50:15,0.0,TI9059963660
162,155,5,OCA,Estándar,240,21:32:49,,,37.88,SS0139165652
163,136,,Correo Argentino,Express,240,09:09:46,242,09:09:46,0.0,SP9573383345
164,11,9,OCA,Estándar,215,11:48:35,,,0.0,DY2042141882
165,111,,Andreani,Express,175,17:44:36,178,17:44:36,0.0,UK0316641127
166,249,4,OCA,Express,233,08:37:46,235,08:37:46,0.0,MX9703177374
167,212,10,Correo Argentino,Express,188,11:39:07,,,0.0,SW2220643794
168,97,1,Andreani,Estándar,236,11:47:32,,,0.0,NY2793474556
169,209,4,Andreani,Estándar,168,09:29:37,,,0.0,YD3363520740
170,41,6,Andreani,Express,186,12:10:41,188,12:10:41,0.0,UT8257868830
171,20,,Andreani,Express,157,22:32:49,159,22:32:49,0.0,FE4804078329
172,191,,Andreani,Express,215,06:21:22,219,06:21:22,0.0,BR2330441086
173,209,12,OCA,Estándar,207,13:07:09,213,13:07:09,0.0,WO9783889555
174,190,4,OCA,Express,198,17:48:37,201,17:48:37,0.0,TR9261677897
175,126,,Correo Argentino,Express,197,01:07:48,,,0.0,OC7794729037
176,25,2,Correo Argentino,Estándar,229,01:01:40,234,01:01:40,0.0,BP4690423761
177,135,7,Andreani,Estándar,167,15:14:29,,,0.0,EO6493207145
178,221,10,OCA,Express,178,17:17:07,181,17:17:07,0.0,VJ2204870693
179,123,12,OCA,Estándar,234,05:43:35,,,0.0,UB2269386984
180,144,6,OCA,Estándar,165,17:49:42,,,0.0,JH8542467817
181,63,,OCA,Express,189,20:41:13,,,0.0,FB4954311380
182,159,,Andreani,Express,198,08:36:20,201,08:36:20,0.0,VD2426892064
183,60,2,OCA,Estándar,208,16:10:13,213,16:10:13,0.0,JS6637234222
184,240,,OCA,Express,164,16:27:56,,,0.0,XC2239418658
185,61,,Andreani,Estándar,180,21:56:28,183,21:56:28,0.0,GA8750501011
186,119,6,OCA,Express,246,04:00:01,,,0.0,ZY3677754548
187,243,6,Correo Argentino,Estándar,168,10:45:21,170,10:45:21,0.0,JF9191720250
188,183,10,Andreani,Express,235,09:43:30,240,09:43:30,0.0,OG9008240499
189,208,,Andreani,Estándar,201,17:04:23,,,0.0,LH9399058285
190,232,,Correo Argentino,Express,244,19:44:28,246,19:44:28,0.0,VE4091284954
191,216,9,Correo Argentino,Express,243,13:00:25,246,13:00:25,0.0,CP6582062660
192,101,9,Andreani,Estándar,242,17:12:32,244,17:12:32,0.0,PD1410765741
193,151,8,OCA,Express,182,17:13:46,187,17:13:46,1148.93,UW4877697818
194,169,9,Correo Argentino,Express,220,21:29:56,,,0.0,AP9084485982
195,197,3,Andreani,Estándar,227,07:46:12,,,0.0,YT1221473729
196,40,1,OCA,Express,153,08:43:18,158,08:43:18,4589.4,UJ0185209870
197,134,4,Andreani,Estándar,234,12:47:36,,,0.0,QM5697897543
198,49,,Correo Argentino,Express,156,13:33:49,,,0.0,OO7187625401
199,240,,Andreani,Estándar,237,10:49:59,243,10:49:59,5513.03,XB8411982319
200,121,4,Andreani,Express,169,06:09:59,174,06:09:59,0.0,FN3459228146
201,49,,OCA,Express,226,06:42:44,228,06:42:44,0.0,DF9567801217
202,97,9,Andreani,Express,181,23:07:17,,,0.0,AM0804248124
203,246,1,Correo Argentino,Estándar,166,20:34:36,172,20:34:36,0.0,FF3005125423
204,240,7,Andreani,Estándar,225,05:58:54,228,05:58:54,128.17,HB4607737784
205,120,2,OCA,Estándar,170,04:36:57,175,04:36:57,0.0,BE8720850505
206,21,9,Andreani,Estándar,240,10:03:36,,,0.0,MU4860690133
207,159,7,OCA,Estándar,155,22:44:01,161,22:44:01,0.0,GT9654821716
208,17,4,Andreani,Express,235,10:44:46,238,10:44:46,0.0,YG4039619328
209,95,7,Andreani,Estándar,176,10:41:53,,,0.0,JO5193948060
